Service,Department / Portal,URL,Description
Income Certificate,TNeGA / eSevai,https://www.tnesevai.tn.gov.in,"Required for government schemes, scholarships"
Community Certificate,TNeGA / eSevai,https://www.tnesevai.tn.gov.in,Caste/reservation proof
First Graduate Certificate,TNeGA / eSevai,https://www.tnesevai.tn.gov.in,Education-related financial aid
Nativity Certificate,TNeGA / eSevai,https://www.tnesevai.tn.gov.in,Prove permanent residency in Tamil Nadu
Birth/Death Certificate,Chennai Corp / TN Local Bodies,https://chennaicorporation.gov.in/birth_death.htm,Download birth/death records
Patta / Chitta (Land Records),Tamil Nilam,https://eservices.tn.gov.in/eservicesnew/index.html,Land ownership documents
Encumbrance Certificate (EC),TNREGINET,https://tnreginet.gov.in,Legal property document
Guideline Value,TNREGINET,https://tnreginet.gov.in,Market rate of land/plot
Smart Ration Card,TNPDS,https://www.tnpds.gov.in,"Apply, update, or download digital ration card"
Electricity Bill Payment,TANGEDCO,https://www.tangedco.org,Pay your EB bill online
Property Tax,Local Corporation,https://chennaicorporation.gov.in,Pay house/property tax
Water Tax / Metro Water,Chennai Metro Water,https://chennaimetrowater.tn.gov.in,Water connection/tax payment
Voter ID â€“ Apply/Update,NVSP / CEO TN,https://www.nvsp.in,Voter registration and status
Driving License & RC,Parivahan,https://parivahan.gov.in,DL & vehicle-related services
TN Police Services,TN Police,https://eservices.tnpolice.gov.in,"File complaints, FIR status, traffic fines"
CM Cell Petition,CM Cell Tamil Nadu,https://cmcell.tn.gov.in,Submit and track grievance petitions
Employment Exchange,TN Velaivaippu,https://tnvelaivaaippu.gov.in,Job seeker registration
Scholarship Portal,TN E-District,https://escholarship.tn.gov.in,Apply for educational scholarships
10th/12th Marksheet,DGE TN,https://www.dge.tn.gov.in,Download mark sheets and results
Amma Two-Wheeler Scheme,Social Welfare Dept,https://www.tnagrisnet.tn.gov.in/amma2wheelerscheme,Apply for subsidized two-wheeler for working women
